Category,Subcategory,Technologies name,parameter name,c_inv,c_maint,gwp_constr,lifetime,c_p,fmin_perc,fmax_perc,f_min,f_max
,,Name (simplified),Name (in model and documents),"[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)]",[years],[],[],[],[GW],[GW]
Heat,Heat low temperature decentralised,Boiler wood (decentralised),DEC_BOILER_WOOD,462.44030339919465,16.181290382994664,21.09,17,1.0,0,1.0,0,1000000000000000.0
Heat,Heat low temperature decentralised,Boiler oil (decentralised),DEC_BOILER_OIL,142.38224552860754,8.540125479913849,21.09,17,1.0,0,1.0,0,1000000000000000.0
Heat,Heat low temperature decentralised,Solar thermal (decentralised),DEC_SOLAR,719.074819739676,7.978275119393202,221.22,20,1.0,0,1.0,0,1000000000000000.0
Heat,Heat low temperature decentralised,Direct electrical heaters (decentralised),DEC_DIRECT_ELEC,39.9756531510441,0.1747421508166896,1.47,15,1.0,0,1.0,0,1000000000000000.0
Mobility,Passenger public,Tram or metro,TRAMWAY_TROLLEY,625.0,12.5,0.0,30,0.3424657534246575,0,0.3,0,1000000000000000.0
Mobility,Passenger public,Bus diesel,BUS_COACH_DIESEL,611.1111111111111,30.55555555555556,0.0,15,0.2968036529680365,0,1.0,0,1000000000000000.0
Mobility,Passenger public,Bus diesel hybrid,BUS_COACH_HYDIESEL,833.3333333333334,33.333333333333336,0.0,15,0.2968036529680365,0,1.0,0,1000000000000000.0
Mobility,Passenger public,Bus gas,BUS_COACH_CNG_STOICH,611.1111111111111,30.55555555555556,0.0,15,0.2968036529680365,0,1.0,0,1000000000000000.0
Mobility,Passenger public,Bus fuel cell (H2),BUS_COACH_FC_HYBRIDH2,1041.6666666666667,31.250000000000004,0.0,15,0.2968036529680365,0,1.0,0,1000000000000000.0
Mobility,Passenger public,Train (passenger),TRAIN_PUB,1506.0240963855422,54.35274934323762,0.0,40,0.275072894316994,0,0.5,0,1000000000000000.0
Mobility,Passenger private,Car gasoline,CAR_GASOLINE,420.28635778635777,13.79752469978034,342.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car diesel,CAR_DIESEL,434.45358442346947,14.704870433000654,346.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car gas,CAR_NG,429.3758043758043,17.818549068549068,342.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car hybrid (gasoline),CAR_HEV,429.41155441155445,8.97736817277047,519.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car plug-in hybrid,CAR_PHEV,456.36708136708137,9.504989390046859,519.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car electric,CAR_BEV,449.8248248248247,6.868536625362563,385.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car fuel cell (H2),CAR_FUEL_CELL,434.7740597740598,2.687829802685373,786.0,10,0.051369863013698634,0,1.0,0,1000000000000000.0
Mobility,Freight,Train (freight),TRAIN_FREIGHT,104.41558441558442,2.0883116883116886,0.0,40,0.34246575342465757,0,1.0,0,1000000000000000.0
Mobility,Freight,Boat diesel,BOAT_FREIGHT_DIESEL,76.3888888888889,3.8194444444444455,0.0,40,0.1141552511415525,0,1.0,0,1000000000000000.0
Mobility,Freight,Boat gas,BOAT_FREIGHT_NG,76.3888888888889,3.8194444444444455,0.0,40,0.1141552511415525,0,1.0,0,1000000000000000.0
Mobility,Freight,Trucks diesel,TRUCK_DIESEL,371.1111111111111,18.555555555555557,0.0,15,0.0925925925925926,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck fuel cell (hydrogen),TRUCK_FUEL_CELL,402.22222222222223,12.066666666666668,0.0,15,0.0925925925925926,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck electric,TRUCK_ELEC,771.1111111111111,23.133333333333333,0.0,15,0.0925925925925926,0,1.0,0,1000000000000000.0
Mobility,Freight,Truck gas,TRUCK_NG,371.1111111111111,18.555555555555557,0.0,15,0.0925925925925926,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,NON_ENERGY_OIL,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,NON_ENERGY_NG,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
Infrastructure,Infrastructure,Efficiency mesures in energy system,EFFICIENCY,3200.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
Infrastructure,Infrastructure,Distric heating network,DHN,825.8825732746511,0.0,0.0,60,1.0,0,1.0,0,1000000000000000.0
Infrastructure,Infrastructure,Electrical grid cost,GRID,74919.06354636674,0.0,0.0,80,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,MOTORWAYS,339.0,11.865000000000002,0.0,60,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,ROADS,2800.0,98.00000000000001,0.0,60,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,RAILWAYS,1780.0,62.300000000000004,0.0,60,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,H2_ELECTROLYSIS,696.2025316455696,19.145569620253163,0.0,15,0.9,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,H2_NG,681.2435621312857,62.865841200657194,0.0,25,0.86,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,H2_BIOMASS,2525.386272122858,177.91076794728824,0.0,25,0.86,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,GASIFICATION_SNG,2743.80559977526,137.75166214064984,0.0,25,0.85,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,PYROLYSIS,1344.217623372975,61.0969702644953,0.0,25,0.85,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,ATM_CCS,5160.0,128.088,0.0,40,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,INDUSTRY_CCS,2580.0,64.044,0.0,40,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SYN_METHANOLATION,1679.651652776477,47.66486710963456,0.0,20,0.95,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SYN_METHANATION,262.1968349096357,66.99276315789474,0.0,40,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,BIOMETHANATION,986.0473827137372,13.65909090909091,0.0,20,0.85,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,BIO_HYDROLYSIS,1591.9093548085025,108.5374500020066,0.0,15,0.85,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,METHANE_TO_METHANOL,958.5822642569528,41.915203527648735,0.0,25,0.85,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SLF_TO_DIESEL,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SLF_TO_GASOLINE,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SLF_TO_LFO,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
Storage,Electricity storage,Batteries,BATT_LI,302.0,0.4668988410596027,61.3,15,1.0,0,1.0,0,1000000000000000.0
Storage,Electricity storage,Batteries of electric cars,BEV_BATT,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
Storage,Electricity storage,Batteries of plug-in hybrid cars,PHEV_BATT,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
Storage,Electricity storage,Pumped hydro storage,PHS,58.8,0.0,8.33,50,1.0,0,1.0,5,6.5
Storage,Thermal storage,Decentralised direct elec,TS_DEC_DIRECT_ELEC,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised electrical heat pumps,TS_DEC_HP_ELEC,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised thermal heat pumps gas,TS_DEC_THHP_GAS,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised cogeneration gas,TS_DEC_COGEN_GAS,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised cogenration oil,TS_DEC_COGEN_OIL,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised fuel cell cogeneration gas,TS_DEC_ADVCOGEN_GAS,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised fuel cell cogenration H2,TS_DEC_ADVCOGEN_H2,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised boiler gas,TS_DEC_BOILER_GAS,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised boiler wood,TS_DEC_BOILER_WOOD,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Decentralised boiler oil,TS_DEC_BOILER_OIL,18.971813840247215,0.1328026968817305,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Centralised daily,TS_DHN_DAILY,3.0,0.0086,0.0,40,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Centralised seasonal,TS_DHN_SEASONAL,0.54,0.0029583333333333328,0.0,25,1.0,0,1.0,0,1000000000000000.0
Storage,Thermal storage,Thermal storage industries,TS_HIGH_TEMP,28.03,0.3,0.0,25,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SEASONAL_NG,0.051158,0.0013091641490433031,0.0,50,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SEASONAL_H2,6.19,0.38999999999999996,0.0,20,1.0,0,1.0,0,1000000000000000.0
Storage,Other storage,CO2 storage,CO2_STORAGE,49.5,0.495,0.0,30,1.0,0,1.0,0,1000000000000000.0
TODO,TODO,TODO,SLF_STO,0.00635,0.000397,0.0,20,1.0,0,1.0,0,1000000000000000.0
